1,حالا این عدم قطعیت خودش قطعیه؟ http://ff.im/mmIOm,Raheleh,_Raheleh_,0
2,دنيای غريبِ نامطمئن در باره‌ی اصل عدم‌قطعيت http://bit.ly/bxUTFs,4TMU.ir,4tmuir,0
3,هر منطقی در پارادایم خود منطقی است!.اصل عدم قطعیت هایزنبرگ  تصادم پاردایمیست و غلط است.در این مورد حتما باید به تطبیق ناپذیری کوهن روجوع کرد,ـ:: مُحَـمـّـد حُــسـِـیـن ::ـ,KhoshBayan,1
4,بازیکن دوپینگی چه کسی است؟: با توجه به عدم قطعیت نام بازیکنی که از مواد نیروزا استفاده کرده اعلام نشده تا آبروی ای... http://bit.ly/cJkE9J,Esteghlali.com,Esteghlali_com,0
5,بازیکن دوپینگی چه کسی است؟: خبرگزاری فوتبال ایران با توجه به عدم قطعیت نام بازیکنی که از مواد نیروزا استفاده کرده ... http://bit.ly/bUP0P5,Footbalirani,Footbalirani,0
6,اصل عدم قطعیت و یک دنیا راز http://ff.im/jmS7Q,Raheleh,_Raheleh_,0
7,#انیشتین و #بوهر سالها بر سر اصل عدم قطعیت و مکانیک کوانتمی کشمکش داشتن ........انیشتین معتقد بود خدا طاس بازی... http://ff.im/iNhg4,©  سعید ⁦⁦,Saeed,0
8,موقع سکس بیشتر دوست داری در مورد دیالکتیک هگلی با هم صحبت کنیم یا اصل عدم قطعیت؟,S. S. Alavidjeh,zzgraph,0
9,حالا این عدم قطعیت خودش قطعیه؟ http://ff.im/mmIOm,Raheleh,_Raheleh_,0
10,دنيای غريبِ نامطمئن در باره‌ی اصل عدم‌قطعيت http://bit.ly/bxUTFs,4TMU.ir,4tmuir,0
11,هر منطقی در پارادایم خود منطقی است!.اصل عدم قطعیت هایزنبرگ  تصادم پاردایمیست و غلط است.در این مورد حتما باید به تطبیق ناپذیری کوهن روجوع کرد,ـ:: مُحَـمـّـد حُــسـِـیـن ::ـ,KhoshBayan,1
12,بازیکن دوپینگی چه کسی است؟: با توجه به عدم قطعیت نام بازیکنی که از مواد نیروزا استفاده کرده اعلام نشده تا آبروی ای... http://bit.ly/cJkE9J,Esteghlali.com,Esteghlali_com,0
13,بازیکن دوپینگی چه کسی است؟: خبرگزاری فوتبال ایران با توجه به عدم قطعیت نام بازیکنی که از مواد نیروزا استفاده کرده ... http://bit.ly/bUP0P5,Footbalirani,Footbalirani,0
14,اصل عدم قطعیت و یک دنیا راز http://ff.im/jmS7Q,Raheleh,_Raheleh_,0
15,#انیشتین و #بوهر سالها بر سر اصل عدم قطعیت و مکانیک کوانتمی کشمکش داشتن ........انیشتین معتقد بود خدا طاس بازی... http://ff.im/iNhg4,©  سعید ⁦⁦,Saeed,0
16,موقع سکس بیشتر دوست داری در مورد دیالکتیک هگلی با هم صحبت کنیم یا اصل عدم قطعیت؟,S. S. Alavidjeh,zzgraph,0
17,اصل عدم قطعیت - حرف دانشجو http://social.iaumahallat.net/studentsvoice/entry/8-Uncertainty%20principle.html …,Merkousha,Merkousha,0
18,@CoolSouthwest به اصل عدم قطعيت ماکس پلانک فکر کن و درگيريش با نسبيت عام عمو آلبرت,Dr. Waver,ahwaztaxi,0
19,ایران داره از نظر شیر تو شیری به یه چیزی تو مایه‌های زمان اشغال توسط متحدین نزدیک می‌شه. سیاست داخلی و خارجیمون خود عدم قطعیت شده.,The Đark LorĐ,Great_Dark_Lord,0
20,دولت عدم قطعیت: در سال ۲۰۱۰ و پس از اظهارات شهردار مسکو مبنی بر اینکه دکه‌های بی‌شمار منظره ناخوشایندی به نقطه‌ن... http://bit.ly/otIZan ,Aftab Portal,aftab_economics,0
21,عدم قطعیت درد بزرگمه ، کلاً ریشه همه بی اعصابیام همینه ، کارای نصفه نیمه ، به نتیجه نرسیده، سردرگمی ، توهم ، از این حرفا,خیره به رو‌به‌رو,siinmiim,0
22,عدم ِ قطعیت، به روان‌پریشی منتهی می‌شود/ قطعیت به جنایت/ روان‌پریش نیز فاصله‌ی چندانی با جنایت ندارد/ در باب ِ علی‌السویه بودن ِ حیات,ادیسئوس,olysseusjourney,0
